CountryName,Code,Year,Population,latitude,longitude
Maldives,MDV,2023,526009,3.202778,73.22068
Mali,MLI,2023,23769129,17.570692,-3.996166
Malta,MLT,2023,532964,35.937496,14.375416
Marshall Islands,MHL,2023,38849,7.131474,171.184478
Martinique,MTQ,2023,346008,14.641528,-61.024174
Mauritania,MRT,2023,5022440,21.00789,-10.940835
Mauritius,MUS,2023,1273590,-20.348404,57.552152
Mayotte,MYT,2023,316028,-12.8275,45.166244
Mexico,MEX,2023,129739764,23.634501,-102.552784
Moldova,MDA,2023,3067071,47.411631,28.369885
Monaco,MCO,2023,38978,43.750298,7.412841
Mongolia,MNG,2023,3431939,46.862496,103.846656
Montenegro,MNE,2023,633557,42.708678,19.37439
Montserrat,MSR,2023,4440,16.742498,-62.187366
Morocco,MAR,2023,37712517,31.791702,-7.09262
Mozambique,MOZ,2023,33635165,-18.665695,35.529562
Namibia,NAM,2023,2963101,-22.95764,18.49041
Nauru,NRU,2023,11900,-0.522778,166.931503
Nepal,NPL,2023,29694614,28.394857,84.124008
Netherlands,NLD,2023,18092525,52.132633,5.291266
New Caledonia,NCL,2023,289880,-20.904305,165.618042
New Zealand,NZL,2023,5172839,-40.900557,174.885971
Nicaragua,NIC,2023,6823618,12.865416,-85.207229
Niger,NER,2023,26159862,17.607789,8.081666
Nigeria,NGA,2023,227882949,9.081999,8.675277
Niue,NIU,2023,1841,-19.054445,-169.867233
North Korea,PRK,2023,26418196,40.339852,127.510093
Northern Mariana Islands,MNP,2023,45165,17.33083,145.38469
Norway,NOR,2023,5519166,60.472024,8.468946
Oman,OMN,2023,5049268,21.512583,55.923255
Pakistan,PAK,2023,247504504,30.375321,69.345116
Palau,PLW,2023,17750,7.51498,134.58252
Panama,PAN,2023,4458759,8.537981,-80.782127
Papua New Guinea,PNG,2023,10389638,-6.314993,143.95555
Paraguay,PRY,2023,6844152,-23.442503,-58.443832
Peru,PER,2023,33845617,-9.189967,-75.015152
Philippines,PHL,2023,114891200,12.879721,121.774017
Poland,POL,2023,38762847,51.919438,19.145136
Portugal,PRT,2023,10430735,39.399872,-8.224454
Puerto Rico,PRI,2023,3242023,18.220833,-66.590149
Qatar,QAT,2023,2979087,25.354826,51.183884
Romania,ROU,2023,19118481,45.943161,24.96676
Russia,RUS,2023,145440504,61.52401,105.318756
Rwanda,RWA,2023,13954474,-1.940278,29.873888
Saint Helena,SHN,2023,5316,-24.143474,-10.030696
Saint Kitts and Nevis,KNA,2023,46783,17.357822,-62.782998
Saint Lucia,LCA,2023,179293,13.909444,-60.978893
Saint Pierre and Miquelon,SPM,2023,5707,46.941936,-56.27111
Saint Vincent and the Grenadines,VCT,2023,101331,12.984305,-61.287228
Samoa,WSM,2023,216674,-13.759029,-172.104629
San Marino,SMR,2023,33761,43.94236,12.457777
Saudi Arabia,SAU,2023,33264288,23.885942,45.079162
Senegal,SEN,2023,18077573,14.497401,-14.452362
Serbia,SRB,2023,6773203,44.016521,21.005859
Seychelles,SYC,2023,127961,-4.679574,55.491977
Sierra Leone,SLE,2023,8460523,8.460555,-11.779889
Singapore,SGP,2023,5789091,1.352083,103.819836
Slovakia,SVK,2023,5518057,48.669026,19.699024
Slovenia,SVN,2023,2118395,46.151241,14.995463
Solomon Islands,SLB,2023,800013,-9.64571,160.156194
Somalia,SOM,2023,18358621,5.152149,46.199616
South Africa,ZAF,2023,63212386,-30.559482,22.937506
South Korea,KOR,2023,51748744,35.907757,127.766922
Spain,ESP,2023,47911583,40.463667,-3.74922
Sri Lanka,LKA,2023,22971616,7.873054,80.771797
Sudan,SDN,2023,50042799,12.862807,30.217636
Suriname,SUR,2023,628892,3.919305,-56.027783
Svalbard and Jan Mayen,SJM,2023,2400,77.553604,23.670272
Sweden,SWE,2023,10551493,60.128161,18.643501
Switzerland,CHE,2023,8870564,46.818188,8.227512
Syria,SYR,2023,23594622,34.802075,38.996815
Taiwan,TWN,2023,23317145,23.69781,120.960515
Tajikistan,TJK,2023,10389808,38.861034,71.276093
Tanzania,TZA,2023,66617607,-6.369028,34.888822
Thailand,THA,2023,71702438,15.870032,100.992541
Togo,TGO,2023,9304344,8.619543,0.824782
Tokelau,TKL,2023,2424,-8.967363,-171.855881
Tonga,TON,2023,104614,-21.178986,-175.198242
Trinidad and Tobago,TTO,2023,1502936,10.691803,-61.222503
Tunisia,TUN,2023,12200434,33.886917,9.537499
Turkey,TUR,2023,87270503,38.963745,35.243322
Turkmenistan,TKM,2023,7364437,38.969719,59.556278
Turks and Caicos Islands,TCA,2023,46219,21.694025,-71.797928
Tuvalu,TUV,2023,9837,-7.109535,177.64933
Uganda,UGA,2023,48656604,1.373333,32.290275
Ukraine,UKR,2023,37732832,48.379433,31.16558
United Arab Emirates,ARE,2023,10642089,23.424076,53.847818
United Kingdom,GBR,2023,68682965,55.378051,-3.435973
United States of America,USA,2023,343477332,37.09024,-95.712891
Uruguay,URY,2023,3388083,-32.522779,-55.765835
Uzbekistan,UZB,2023,35652309,41.377491,64.585262
Vanuatu,VUT,2023,320422,-15.376706,166.959158
Venezuela,VEN,2023,28300860,6.42375,-66.58973
Vietnam,VNM,2023,100352189,14.058324,108.277199
Wallis and Futuna,WLF,2023,11394,-13.768752,-177.156097
Western Sahara,ESH,2023,579735,24.215527,-12.885834
Yemen,YEM,2023,39390800,15.552727,48.516388
Zambia,ZMB,2023,20723968,-13.133897,27.849332
Zimbabwe,ZWE,2023,16340829,-19.015438,29.154857
